id,num,NAME,lat,lng
"472037","137629440",WENDY'S,39.947900,-82.940000
"472038","137629465",WHITE CASTLE,39.946900,-82.945500
"473831","137820858",BANGKOK GROCERY & RESTAURANT,39.917100,-82.913900
"473838","137821112",BERWICK MANOR PARTY HOUSE,39.918500,-82.914900
"473843","137821450",BURGER KING,39.917100,-82.914400
"1124549","220244610",SUBWAY,39.947900,-82.938800
"2097772","375381126",MOUAMEN & SASHA OLYMPIC PIZZA,39.948800,-82.956600
"4327230","414476332",JAZZ CAFE LLC,39.952100,-82.905500
"5183193","421956794",LAWSHEA'S SOUTHERN FISH & RIBS,39.947900,-82.939200
"5876289","426565104",EDDYS GRILL,39.948900,-82.949300
"5912115","426730636",MR HERO,39.947900,-82.941700
"7395782","459111399",T T MURPH'S,39.947100,-82.916500
"7819196","498321702",DELI DELICIOUS,39.947900,-82.938900
"7819440","498361195",GREAT WALL CHINESE RESTAURANT,39.946000,-82.914300
"8010441","518898127",PEKING DYNASTY EXPRESS,39.948400,-82.938400
"8258888","546409749",POPEYE'S LOUISIANA KITCHEN,39.947900,-82.939500
"8637938","585846389",MC DONALD'S,39.946400,-82.917000
"10020642","690890199",M & M CHICKEN & FISH,39.947800,-82.945600
"10558237","705821537",JUST WING IT LLC,39.948300,-82.947100
"11214062","711011544",LEIPZIG HAUS,39.948000,-82.938200
"11801874","720197144",FIGGI'S PIZZA & SUBS LLC,39.929600,-82.924800
"12170080","850993221",RALLY'S HAMBURGERS,39.948900,-82.945900
"12848316","959357286",MC DONALD'S,39.947600,-82.944700
"470712","137531018",LITTLE ITALY PIZZA,39.851400,-82.883300
"470715","137531141",NORM'S MARKET INC,39.853500,-82.893200
"471789","137609434",J & R'S PIZZA,39.841000,-82.805100
"473799","137817698",ROMAN'S PIZZA,39.843300,-82.805400
"903853","180472805",MC DONALD'S,39.854900,-82.828800
"904874","181036591",DOMINO'S,39.854700,-82.830600
"948869","205825987",WENDY'S,39.856500,-82.901900
"1037141","213074503",SUBWAY,39.854800,-82.897400
"1037272","213087018",GREAT WALL CHINESE RESTAURANT,39.853300,-82.898300
"1245139","231175613",RENALDI'S PIZZARIA,39.843800,-82.807400
"1325061","238827729",POPEYE'S LOUISIANA KITCHEN,39.852900,-82.829900
"1327417","238986848",BUFFALO WILD WINGS GRILL & BAR,39.852000,-82.829600
"1497291","253204341",WENDY'S,39.853300,-82.829500
"1515965","254590730",SHADE ON THE CANAL,39.842100,-82.805500
"1516050","254599574",VILLAGE WINES,39.842500,-82.805900
"2090971","374980027",KFC,39.856100,-82.828200
"2169442","382761161",MINUTEMAN PIZZA,39.843800,-82.801100
"2192115","385122528",PIZZA HUT,39.852300,-82.828400
